,gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name,gene_biotype
1,ENSGALG00000000104,690.6905996,1.932928025,0.290903329,1.41E-12,2.57E-09,NA,protein_coding
2,ENSGALG00000000161,1156.228642,-0.468337976,0.125290107,1.11E-05,0.001413718,NA,protein_coding
3,ENSGALG00000000184,259.5335665,1.575253809,0.482040733,3.84E-05,0.003661678,NA,protein_coding
4,ENSGALG00000000255,697.6869295,-0.650535072,0.172362898,7.74E-06,0.0010754,MAN2A1,protein_coding
5,ENSGALG00000000402,248.4730584,-1.758007544,0.668506701,0.000240502,0.014017458,LOXL2,protein_coding
6,ENSGALG00000000470,3418.230646,-0.564774797,0.165596157,3.16E-05,0.003122577,LMNB2,protein_coding
7,ENSGALG00000000498,3012.318661,0.973142486,0.220554343,4.69E-07,0.000123565,ACE,protein_coding
8,ENSGALG00000000516,86.38089646,-0.759050656,0.348409256,0.00092222,0.036473817,FANCA,protein_coding
9,ENSGALG00000000608,2454.705129,-0.916110537,0.212946429,7.46E-07,0.00017938,CDH1,protein_coding
10,ENSGALG00000000645,3794.962623,0.989033589,0.374936331,0.000291302,0.01631217,NA,protein_coding
11,ENSGALG00000000720,608.7559969,1.067178081,0.242672132,4.83E-07,0.000125456,NA,protein_coding
12,ENSGALG00000000791,199.9661692,-1.063376142,0.343876138,7.17E-05,0.005698772,NA,protein_coding
13,ENSGALG00000000902,675.0499442,0.422455622,0.166221897,0.000589048,0.026162244,NA,protein_coding
14,ENSGALG00000001132,671.4899079,0.544085531,0.211057853,0.00043211,0.020987636,NA,protein_coding
15,ENSGALG00000001235,325.8844648,0.434677997,0.173671534,0.000631116,0.027443641,NA,protein_coding
16,ENSGALG00000001431,438.8588204,-0.972172286,0.39184971,0.000409991,0.020390293,GUCA1A,protein_coding
17,ENSGALG00000001480,1861.085552,0.71571877,0.149202603,8.26E-08,3.52E-05,NA,protein_coding
18,ENSGALG00000001491,422.458524,-0.792493035,0.298057499,0.000279331,0.015890318,NA,protein_coding
19,ENSGALG00000001492,21649.98009,0.489805038,0.129477589,9.07E-06,0.001224751,NA,protein_coding
20,ENSGALG00000001558,135.3870291,0.74322503,0.35385114,0.001107364,0.041296167,MOV10,protein_coding
21,ENSGALG00000001934,240.9991569,1.464147075,0.580765648,0.00034389,0.018250338,OPN4,protein_coding
22,ENSGALG00000001945,1685.596253,0.39399457,0.122442445,8.62E-05,0.006688425,RFT1,protein_coding
23,ENSGALG00000001955,9880.390686,0.532776119,0.239508572,0.001014639,0.038834489,AANAT,protein_coding
24,ENSGALG00000002046,1399.070491,0.690918288,0.162476604,1.05E-06,0.000230292,NA,protein_coding
25,ENSGALG00000002097,349.1896942,-0.673495586,0.220940363,9.70E-05,0.007228647,NA,protein_coding
26,ENSGALG00000002175,45.01100757,-1.363749476,0.405155486,2.94E-05,0.00301123,NA,protein_coding
27,ENSGALG00000002346,208.3573409,-0.620716777,0.262816592,0.000672905,0.028957567,CLSPN,protein_coding
28,ENSGALG00000002437,1079.011086,0.424719586,0.183426134,0.001018131,0.03884256,NA,protein_coding
29,ENSGALG00000002554,1149.730226,1.149562395,0.356923408,4.73E-05,0.004204883,NA,protein_coding
30,ENSGALG00000002555,493.8112429,1.160429421,0.371706229,6.52E-05,0.005423374,RET,protein_coding
31,ENSGALG00000002671,246.5947275,-0.695819464,0.341092481,0.001258361,0.045514574,NA,protein_coding
32,ENSGALG00000002781,319.4464791,-1.542288423,0.366805805,1.04E-06,0.000229886,BRCA1,protein_coding
33,ENSGALG00000002802,1670.160529,0.786740341,0.212012755,9.24E-06,0.001238371,NA,protein_coding
34,ENSGALG00000002864,626.4876649,0.916381188,0.293035463,6.81E-05,0.005589882,LRRTM3,protein_coding
35,ENSGALG00000002952,1743.579083,0.659711395,0.193239952,2.95E-05,0.00301123,NRG4,protein_coding
36,ENSGALG00000002974,300.2172721,0.962170212,0.181607496,5.69E-09,3.78E-06,SPHKAP,protein_coding
37,ENSGALG00000003045,493.5791953,-0.825940034,0.207624911,3.17E-06,0.000536656,E2F1,protein_coding
38,ENSGALG00000003078,9124.776077,0.329072649,0.127546534,0.000688014,0.029253953,MMD,protein_coding
39,ENSGALG00000003085,658.348269,-1.279818772,0.325346868,3.28E-06,0.000551162,CDK1,protein_coding
40,ENSGALG00000003163,5447.232539,0.359161691,0.129819492,0.000372173,0.019080743,GNAO1,protein_coding
41,ENSGALG00000003179,27.02676351,2.260929751,0.989098687,0.000579768,0.025888527,NA,protein_coding
42,ENSGALG00000003310,133.3122788,-1.061360652,0.430885616,0.000424115,0.020720498,SLC45A2,protein_coding
43,ENSGALG00000003323,1167.964427,0.648627397,0.19007537,2.99E-05,0.00301865,OSGIN1,protein_coding
44,ENSGALG00000003424,472.5933526,-0.786416682,0.243523309,5.10E-05,0.004416513,LMX1A,protein_coding
45,ENSGALG00000003438,361.7409952,-1.245580136,0.288764672,6.65E-07,0.00016475,NUF2,protein_coding
46,ENSGALG00000003443,52.29922852,-1.091181429,0.378268026,0.000140252,0.009432063,LRRC52,protein_coding
47,ENSGALG00000003484,121.2338185,-0.883690922,0.429365742,0.001103402,0.041280642,BARD1,protein_coding
48,ENSGALG00000003573,1658.896075,0.910245198,0.332035861,0.000216881,0.012919992,NA,protein_coding
49,ENSGALG00000003584,768.299514,-1.429620929,0.343474595,1.25E-06,0.000258857,KPNA2,protein_coding
50,ENSGALG00000003651,1070.859305,0.329966024,0.130458359,0.000819365,0.033772866,NT5C3B,protein_coding
51,ENSGALG00000003726,728.9134348,-0.498300707,0.16980126,0.000166196,0.010868898,NA,protein_coding
52,ENSGALG00000003859,280.4155423,0.615351071,0.175468543,2.20E-05,0.002467011,KRT222,protein_coding
53,ENSGALG00000003881,143.2576251,-0.773979856,0.38691664,0.001300208,0.046457744,NA,protein_coding
54,ENSGALG00000003922,1426.914262,-1.376884659,0.382841746,1.20E-05,0.001482128,TOP2A,protein_coding
55,ENSGALG00000003928,4778.785509,0.812217294,0.24283524,3.31E-05,0.003212629,LHX3,protein_coding
56,ENSGALG00000003933,53334.79845,0.376249714,0.146528707,0.00055963,0.02519247,QSOX1,protein_coding
57,ENSGALG00000004037,152.2859199,-1.548248024,0.366452893,9.53E-07,0.000219923,DNA2,protein_coding
58,ENSGALG00000004087,186.407816,-0.884960314,0.274866631,5.04E-05,0.004416513,NA,protein_coding
59,ENSGALG00000004161,913.9711236,-0.911569176,0.322466241,0.000165508,0.010868898,CCNB1,protein_coding
60,ENSGALG00000004195,806.6512721,-1.419492192,0.340196099,1.19E-06,0.000251072,KIF4B,protein_coding
61,ENSGALG00000004386,5877.144978,0.511326986,0.162966601,8.78E-05,0.006751013,SOX9,protein_coding
62,ENSGALG00000004444,161.4987648,-1.167880861,0.450874808,0.000297395,0.016466748,NA,protein_coding
63,ENSGALG00000004504,547.7326376,0.517455992,0.18715211,0.000268304,0.015421417,NA,protein_coding
64,ENSGALG00000004515,193.0296048,-1.422876243,0.295244448,6.15E-08,2.76E-05,NA,protein_coding
65,ENSGALG00000004642,3551.415531,0.518581554,0.166247872,9.19E-05,0.006935304,NA,protein_coding
66,ENSGALG00000004722,139.861529,-0.063560867,0.134765318,0.000704176,0.02983945,NA,protein_coding
67,ENSGALG00000004859,433.5318773,0.738258955,0.234347606,6.83E-05,0.005589882,NA,protein_coding
68,ENSGALG00000004860,2214.96199,0.747504672,0.35468548,0.001082514,0.040682428,RASD1,protein_coding
69,ENSGALG00000004879,94.72273776,-1.327587245,0.291951686,2.36E-07,7.69E-05,NA,protein_coding
70,ENSGALG00000004897,217.2681971,-1.357927876,0.38535415,1.58E-05,0.001848363,GTSE1,protein_coding
71,ENSGALG00000004924,9030.823948,1.630399724,0.345338857,1.08E-07,4.26E-05,OPNP,protein_coding
72,ENSGALG00000005038,227.4990833,-1.050897917,0.322054676,4.13E-05,0.003876119,CENPI,protein_coding
73,ENSGALG00000005057,2258.342866,0.942084266,0.211520001,3.86E-07,0.000108565,ADK,protein_coding
74,ENSGALG00000005118,51.88100191,-0.968237178,0.380663851,0.000369128,0.018983249,NA,protein_coding
75,ENSGALG00000005215,505.5383271,-0.790134234,0.250523565,6.46E-05,0.005417397,NA,protein_coding
76,ENSGALG00000005331,407.3338888,-1.111626634,0.263409696,1.03E-06,0.000229886,GJC2,protein_coding
77,ENSGALG00000005347,1079.162352,-0.929446411,0.277160605,3.13E-05,0.003109982,ADAMTS18,protein_coding
78,ENSGALG00000005408,1441.134108,1.213131883,0.317259837,5.32E-06,0.000801576,BCO1,protein_coding
79,ENSGALG00000005519,6403.92917,-0.356574919,0.138446885,0.000645765,0.027960416,NA,protein_coding
80,ENSGALG00000005608,5867.257382,0.585470815,0.266933232,0.001025386,0.038887397,NA,protein_coding
81,ENSGALG00000005626,931.8683566,0.522103098,0.185570672,0.000234171,0.01379367,TPST2,protein_coding
82,ENSGALG00000005763,424.1393211,-1.265254244,0.428845002,0.000105845,0.007745329,NA,protein_coding
83,ENSGALG00000005903,371.8404744,2.111341583,0.33852483,2.05E-11,2.00E-08,NA,protein_coding
84,ENSGALG00000005961,258.0039251,-1.331740334,0.359005897,7.96E-06,0.001083554,DCK2,protein_coding
85,ENSGALG00000006037,935.1889016,-0.832554201,0.22002181,6.72E-06,0.000979083,MCM2,protein_coding
86,ENSGALG00000006040,1290.403404,0.355820111,0.138978177,0.00068222,0.029132009,UCKL1,protein_coding
87,ENSGALG00000006051,84.4708953,-0.946624874,0.487083718,0.00134861,0.047867013,NA,protein_coding
88,ENSGALG00000006110,451.0094588,-1.46757857,0.358979363,1.72E-06,0.000324005,PLK1,protein_coding
89,ENSGALG00000006236,363481.4922,1.123740523,0.228881162,4.21E-08,2.00E-05,TPH1,protein_coding
90,ENSGALG00000006267,891.2199059,-1.068476749,0.340443112,6.21E-05,0.005259324,TPX2,protein_coding
91,ENSGALG00000006525,234.495938,-0.577137038,0.278536216,0.001321269,0.046996994,NA,protein_coding
92,ENSGALG00000006565,969.250923,0.718871847,0.328740176,0.000933078,0.03673063,NA,protein_coding
93,ENSGALG00000006648,614.1613306,-0.481248464,0.221789256,0.001240083,0.045074452,SPECC1L,protein_coding
94,ENSGALG00000006702,21753.85319,0.534113504,0.203097911,0.000415405,0.020527833,MFGE8,protein_coding
95,ENSGALG00000006855,1538.658636,0.562493013,0.18491504,0.000111136,0.007991704,MELTF,protein_coding
96,ENSGALG00000007012,1791.304216,0.380446779,0.141045653,0.000449064,0.021496831,NA,protein_coding
97,ENSGALG00000007191,510.1543726,-1.321125245,0.320809518,1.53E-06,0.000296915,TK1,protein_coding
98,ENSGALG00000007288,113.2853425,1.642760989,0.484262075,2.51E-05,0.002685815,SNTN,protein_coding
99,ENSGALG00000007314,1865.44927,0.664190073,0.266009821,0.000464349,0.021912765,DSCAML1,protein_coding
100,ENSGALG00000007507,188.6478662,-0.965827198,0.317617496,8.68E-05,0.006704953,MASTL,protein_coding
101,ENSGALG00000007531,1487.017269,0.393100214,0.145659203,0.0004177,0.020527833,ZFYVE27,protein_coding
102,ENSGALG00000007536,358.3312677,0.773128409,0.253453371,9.23E-05,0.006935304,NA,protein_coding
103,ENSGALG00000007537,818.4443989,-0.682589852,0.230033712,0.000122503,0.008478758,INCENP,protein_coding
104,ENSGALG00000007668,6951.109086,0.497898562,0.162942277,0.000121307,0.008431117,NA,protein_coding
105,ENSGALG00000007768,176.1517477,-0.952673515,0.378974413,0.000384541,0.019533998,NA,protein_coding
106,ENSGALG00000008022,923.5034203,0.635324308,0.206000691,9.05E-05,0.006895317,TAPBP,protein_coding
107,ENSGALG00000008032,31.49120803,2.439366998,0.575799245,1.01E-06,0.000229249,NA,protein_coding
108,ENSGALG00000008057,13774.21589,0.529288782,0.157128195,3.98E-05,0.003765358,NA,protein_coding
109,ENSGALG00000008095,407.2730372,-1.262581703,0.255748637,3.48E-08,1.70E-05,KIF23,protein_coding
110,ENSGALG00000008120,2361.175192,0.519108794,0.147252255,2.25E-05,0.002506806,NA,protein_coding
111,ENSGALG00000008233,336.3058483,-1.465960142,0.362944398,2.10E-06,0.000379711,BUB1,protein_coding
112,ENSGALG00000008318,1351.039723,-0.476749565,0.174731393,0.000313181,0.016956281,NA,protein_coding
113,ENSGALG00000008436,7005.959855,0.392345306,0.15092249,0.00054745,0.024778467,CRY2,protein_coding
114,ENSGALG00000008584,229.0252418,-1.093319795,0.376860817,0.000127654,0.008762229,NUSAP1,protein_coding
115,ENSGALG00000008661,463.9028034,-0.07295914,0.145037377,0.001237723,0.045074452,CYR61,protein_coding
116,ENSGALG00000008763,2948.180381,0.520215233,0.244092323,0.001279287,0.046095962,SSX2IP,protein_coding
117,ENSGALG00000008860,375.7688015,2.881859958,0.432524044,1.17E-12,2.57E-09,NA,protein_coding
118,ENSGALG00000009020,2102.974126,-0.408570833,0.146540815,0.00030515,0.01678424,NA,protein_coding
119,ENSGALG00000009042,562.3304433,1.111816292,0.211770004,7.10E-09,4.53E-06,NA,protein_coding
120,ENSGALG00000009048,1105.774478,-0.437093712,0.163068598,0.000387267,0.019586159,ABLIM1,protein_coding
121,ENSGALG00000009063,4229.206986,0.812934971,0.188394646,7.56E-07,0.00017938,NA,protein_coding
122,ENSGALG00000009157,234.1134322,-0.97628897,0.354506904,0.000201048,0.01232325,NA,protein_coding
123,ENSGALG00000009305,3214.761333,-0.333780238,0.130330794,0.000732387,0.030877349,LBR,protein_coding
124,ENSGALG00000009520,2542.603802,0.869643898,0.215059429,2.36E-06,0.000417339,Mar-01,protein_coding
125,ENSGALG00000009553,124.3801638,-0.999111611,0.414672577,0.000491292,0.022767216,SMC4,protein_coding
126,ENSGALG00000009690,457.8455666,-1.406356538,0.397117022,1.46E-05,0.001758291,CENPF,protein_coding
127,ENSGALG00000009784,150.0823103,-0.774558843,0.35326751,0.000879169,0.035021292,NA,protein_coding
128,ENSGALG00000009837,115.1675079,-1.210754973,0.374430829,4.47E-05,0.004058129,DTL,protein_coding
129,ENSGALG00000009854,159.1484943,-1.281692884,0.35184905,1.03E-05,0.001356703,NEK2,protein_coding
130,ENSGALG00000009971,399.3632392,-1.296612973,0.401738321,4.43E-05,0.004058129,CDC20,protein_coding
131,ENSGALG00000010120,336.4952663,-0.872819032,0.312265476,0.000184921,0.011814334,NA,protein_coding
132,ENSGALG00000010375,108.3095304,1.000847579,0.436427128,0.000659406,0.028450353,NA,protein_coding
133,ENSGALG00000010533,3737.171107,-0.396376793,0.127625404,0.000120547,0.008413473,ELAVL4,protein_coding
134,ENSGALG00000010642,1560.861978,0.269989137,0.11066533,0.001405336,0.04956272,IRF2,protein_coding
135,ENSGALG00000010674,514.0882973,-0.806652911,0.246059656,4.26E-05,0.003979373,DCTD,protein_coding
136,ENSGALG00000010748,67.42371957,-1.803754425,0.529775561,2.37E-05,0.002571901,NA,protein_coding
137,ENSGALG00000011003,1364.993721,0.746482346,0.364392505,0.001217809,0.044582959,NA,protein_coding
138,ENSGALG00000011058,12884.64462,-0.276626233,0.108013439,0.000975735,0.037930533,LEPR,protein_coding
139,ENSGALG00000011205,734.4911355,0.943617587,0.262883986,1.39E-05,0.001701145,NA,protein_coding
140,ENSGALG00000011277,570.1587849,0.81041961,0.286888849,0.000177989,0.011549129,NA,protein_coding
141,ENSGALG00000011281,109.622093,-1.218331658,0.441882512,0.00019012,0.011924344,SGO1,protein_coding
142,ENSGALG00000011288,3016.865395,0.959921106,0.263545043,1.13E-05,0.001418331,NA,protein_coding
143,ENSGALG00000011413,1585.023068,4.481479539,0.711618377,1.28E-11,1.33E-08,NA,protein_coding
144,ENSGALG00000011532,728.1033738,-0.629466808,0.208725957,0.00010981,0.007930682,NA,protein_coding
145,ENSGALG00000011548,3229.293977,0.698423198,0.219372038,6.28E-05,0.005293177,NA,protein_coding
146,ENSGALG00000011677,711.629755,0.586650987,0.277750951,0.00121851,0.044582959,NA,protein_coding
147,ENSGALG00000011695,8727.035969,0.721139323,0.171374324,1.26E-06,0.000258857,HIPK3,protein_coding
148,ENSGALG00000011861,485.924909,-0.435518277,0.161901152,0.000380316,0.019378622,NA,protein_coding
149,ENSGALG00000011881,473.3358497,-0.816430422,0.217515,7.59E-06,0.001068209,CCNA2,protein_coding
150,ENSGALG00000012030,733.6062946,-0.397843065,0.137229627,0.000228369,0.013548009,QSER1,protein_coding
151,ENSGALG00000012142,377.0843899,1.435043194,0.316273917,2.42E-07,7.74E-05,KCNA4,protein_coding
152,ENSGALG00000012160,159.5919471,-0.842459198,0.361525072,0.00062567,0.027350008,KIF18A,protein_coding
153,ENSGALG00000012165,445.1264542,-1.254097509,0.40373042,6.53E-05,0.005423374,NA,protein_coding
154,ENSGALG00000012256,2140.038614,-0.404836608,0.172589002,0.000985976,0.038088492,UTRN,protein_coding
155,ENSGALG00000012382,50.11570915,1.978356893,0.513772439,4.70E-06,0.000720848,NA,protein_coding
156,ENSGALG00000012537,236.7835094,-0.479403255,0.190655415,0.000555913,0.025093126,KCNJ3,protein_coding
157,ENSGALG00000012546,752.0607283,-0.719086764,0.320575477,0.000808646,0.033413995,MCM5,protein_coding
158,ENSGALG00000012638,5534.117744,0.71471913,0.249307773,0.000166197,0.010868898,CRY1,protein_coding
159,ENSGALG00000012748,4699.637756,0.408340757,0.15516512,0.000492049,0.022767216,ELOVL2,protein_coding
160,ENSGALG00000012873,286.3281439,-1.390616523,0.507307554,0.000189545,0.011924344,NA,protein_coding
161,ENSGALG00000013002,3849.094927,-0.316252762,0.1100187,0.000324531,0.017399761,DAP,protein_coding
162,ENSGALG00000013208,310.4412151,-1.556320709,0.354029366,4.45E-07,0.000121797,NA,protein_coding
163,ENSGALG00000013420,289.7325128,-1.232821227,0.366728795,2.84E-05,0.002969861,FOXM1,protein_coding
164,ENSGALG00000013494,240.8230565,-0.700258455,0.22840529,9.06E-05,0.006895317,CENPN,protein_coding
165,ENSGALG00000013575,105.273337,1.684453796,0.606205489,0.000170383,0.011098945,IFI6,protein_coding
166,ENSGALG00000013723,204.8698164,2.07048531,0.570762012,1.04E-05,0.001356703,NA,protein_coding
167,ENSGALG00000013725,293.4422772,0.893508416,0.342627215,0.000313381,0.016956281,NA,protein_coding
168,ENSGALG00000014136,988.4041962,0.488379916,0.208575066,0.000841844,0.034312752,CNGA1,protein_coding
169,ENSGALG00000014297,465.0565464,0.681159895,0.160821852,1.14E-06,0.000243662,IRF7,protein_coding
170,ENSGALG00000014425,280.9289893,-0.831313852,0.380309574,0.000860126,0.034511014,NA,protein_coding
171,ENSGALG00000014513,481.4015466,-1.006200622,0.459316611,0.00079196,0.032888123,CDCA3,protein_coding
172,ENSGALG00000014801,233.114308,-1.253865854,0.356056501,1.61E-05,0.001851482,NDC80,protein_coding
173,ENSGALG00000014835,5901.635827,0.719082349,0.258551667,0.000202793,0.012384542,C7,protein_coding
174,ENSGALG00000014875,233.6574147,0.849003596,0.376498941,0.000750504,0.031481375,NA,protein_coding
175,ENSGALG00000014907,996.5370191,-0.341095791,0.112192538,0.000178753,0.011553542,NA,protein_coding
176,ENSGALG00000015075,570.2261702,-0.863295967,0.272887603,6.06E-05,0.00516245,B3GAT1L,protein_coding
177,ENSGALG00000015096,735.6552273,0.973773224,0.350199042,0.000190232,0.011924344,SH3GL2,protein_coding
178,ENSGALG00000015363,134.5690201,-1.264431737,0.460850712,0.000194075,0.012029,HJURP,protein_coding
179,ENSGALG00000015374,191945.745,0.488195927,0.160114333,0.000112544,0.00803269,RBP4,protein_coding
180,ENSGALG00000015608,3718.246151,1.150885458,0.251423005,2.03E-07,6.88E-05,NA,protein_coding
181,ENSGALG00000015609,123.4900725,1.47695535,0.435081753,2.54E-05,0.00270021,NA,protein_coding
182,ENSGALG00000015688,4956.814627,0.266158719,0.107175169,0.001290962,0.046415937,MXD4,protein_coding
183,ENSGALG00000015691,748.7245961,-1.508720483,0.58396392,0.000275427,0.015776261,SMC2,protein_coding
184,ENSGALG00000015712,104.0320334,-1.127503105,0.299462077,6.78E-06,0.000979085,SLBP,protein_coding
185,ENSGALG00000015874,196.1782098,-0.781639743,0.370940704,0.001043838,0.039407272,NA,protein_coding
186,ENSGALG00000015910,96.77806949,-1.253486141,0.366455333,2.36E-05,0.002571901,NA,protein_coding
187,ENSGALG00000016042,527.4617062,-0.549226302,0.169104099,5.76E-05,0.004954928,CHAF1B,protein_coding
188,ENSGALG00000016279,2015.044542,0.537233922,0.187633453,0.000196816,0.012108541,NA,protein_coding
189,ENSGALG00000016377,742.7165916,-0.800834909,0.301172782,0.000277748,0.015854524,NA,protein_coding
190,ENSGALG00000016442,677.254111,-1.745056434,0.373651915,1.23E-07,4.73E-05,NA,protein_coding
191,ENSGALG00000016443,1301.252263,0.538086103,0.187673431,0.000194861,0.012032819,HPCAL1,protein_coding
192,ENSGALG00000016464,360.291765,0.848908318,0.261317054,4.68E-05,0.004178582,VSNL1,protein_coding
193,ENSGALG00000016498,56.39876198,-1.291534891,0.514211194,0.000364499,0.018968706,NA,protein_coding
194,ENSGALG00000016522,563.1191687,0.918095069,0.209452356,5.34E-07,0.000134501,NA,protein_coding
195,ENSGALG00000016523,6752.93462,1.593874156,0.360558145,4.47E-07,0.000121797,RS1,protein_coding
196,ENSGALG00000016582,443.9343585,-1.046586429,0.463627151,0.000678562,0.029050513,PBK,protein_coding
197,ENSGALG00000016636,503.7793043,-0.4412234,0.155491786,0.000245769,0.014274345,ARSH,pseudogene
198,ENSGALG00000016669,46.34444071,-2.14428683,0.708700282,7.89E-05,0.006210861,DEFB4A,protein_coding
199,ENSGALG00000016676,654.2531,-1.261678544,0.273457365,1.67E-07,5.92E-05,MCM3,protein_coding
200,ENSGALG00000016685,19425.9783,2.757504869,0.433430894,9.69E-12,1.24E-08,ASMT,protein_coding
201,ENSGALG00000016686,3118.599722,0.925486795,0.179179702,1.18E-08,6.76E-06,AKAP17A,protein_coding
202,ENSGALG00000016755,537.8037956,1.169596812,0.484896249,0.000474638,0.022195779,NA,protein_coding
203,ENSGALG00000016774,634.0800692,0.769128447,0.307895505,0.000437766,0.02113876,NPAS2,protein_coding
204,ENSGALG00000016811,1788.691006,0.310913901,0.113897113,0.000518615,0.023666789,NA,protein_coding
205,ENSGALG00000016899,111.0536788,-0.113297926,0.229229759,0.000688598,0.029253953,DCT,protein_coding
206,ENSGALG00000017025,972.4039706,-1.186311724,0.29199358,1.97E-06,0.00036045,CKAP2,protein_coding
207,ENSGALG00000017128,131.556726,-1.057543708,0.481769055,0.00078178,0.032628524,NA,protein_coding
208,ENSGALG00000017136,137.6285937,-1.180412427,0.440195592,0.000234025,0.01379367,GJB6,protein_coding
209,ENSGALG00000017321,16667.28697,0.893003811,0.27400945,4.39E-05,0.004054015,PLEKHB1,protein_coding
210,ENSGALG00000017715,7265.150993,0.833313378,0.331037864,0.000387926,0.019586159,NA,protein_coding
211,ENSGALG00000019114,154.3508197,1.274320307,0.434504313,0.000115498,0.008163984,CLDN10,protein_coding
212,ENSGALG00000019361,562.8234483,0.980552058,0.325727421,9.65E-05,0.007218795,NA,protein_coding
213,ENSGALG00000020505,90.95640353,0.812495816,0.344748192,0.000610248,0.02688815,NA,protein_coding
214,ENSGALG00000020575,2368.212044,0.81963748,0.373372826,0.000859868,0.034511014,NA,protein_coding
215,ENSGALG00000020726,792.7321052,0.516745234,0.211191402,0.000624368,0.027350008,NA,protein_coding
216,ENSGALG00000020876,142.7849365,0.753756592,0.368418758,0.001226313,0.04476986,AOX2,protein_coding
217,ENSGALG00000020982,3919.620624,1.058045337,0.268346035,3.41E-06,0.000566615,NA,protein_coding
218,ENSGALG00000021193,580.8628822,1.002388413,0.336385239,0.00010515,0.007728528,NA,protein_coding
219,ENSGALG00000021395,199.8114313,0.691994169,0.330084636,0.00114938,0.042521936,NA,protein_coding
220,ENSGALG00000021399,542.0629517,0.814627914,0.339271461,0.000543533,0.024668362,NA,protein_coding
221,ENSGALG00000021542,1683.157124,1.156662699,0.249663471,1.60E-07,5.77E-05,SNCB,protein_coding
222,ENSGALG00000021658,314.6293424,0.587752066,0.17775603,4.56E-05,0.00409721,NA,protein_coding
223,ENSGALG00000022536,167.0796764,0.97479614,0.295046674,3.76E-05,0.003610982,NA,protein_coding
224,ENSGALG00000022815,72.68166209,-1.908222871,0.426220413,3.13E-07,9.47E-05,AvBD1,protein_coding
225,ENSGALG00000023396,298.55454,0.744799782,0.295795643,0.000422759,0.020715198,NA,protein_coding
